time,rightX,rightY,rightZ,leftX,leftY,leftZ,rootX,rootY,rootZ
0.000000,0.242709,1.034408,0.517754,-0.236382,1.213714,0.634208,0,0,0
0.016667,0.258385,1.039662,0.490226,-0.239476,1.222520,0.627388,0,0,0
0.033333,0.272604,1.047205,0.459404,-0.240464,1.230025,0.619407,0,0,0
0.050000,0.321124,1.064124,0.379995,-0.250576,1.252442,0.600168,0,0,0
0.066667,0.356024,1.093070,0.294320,-0.248287,1.273643,0.577043,0,0,0
0.083333,0.430578,1.123764,0.174389,-0.256004,1.287558,0.547610,0,0,0
0.100000,0.461517,1.172127,0.058835,-0.253511,1.306632,0.514852,0,0,0
0.116667,0.525858,1.196361,-0.039994,-0.259159,1.301496,0.484468,0,0,0
0.133333,0.563854,1.240448,-0.160111,-0.262675,1.298930,0.450761,0,0,0
0.150000,0.613568,1.261552,-0.234698,-0.274950,1.281357,0.431562,0,0,0
0.166667,0.653100,1.293087,-0.310788,-0.281024,1.257144,0.409381,0,0,0
0.183333,0.671212,1.311870,-0.337006,-0.300056,1.228879,0.414302,0,0,0
0.200000,0.686023,1.333740,-0.363614,-0.309165,1.201161,0.413123,0,0,0
0.216667,0.708823,1.384135,-0.355195,-0.332028,1.165659,0.445622,0,0,0
0.233333,0.693204,1.399227,-0.342589,-0.350764,1.129992,0.477919,0,0,0
0.250000,0.620796,1.400406,-0.283861,-0.388687,1.097465,0.532178,0,0,0
0.266667,0.552068,1.390018,-0.188382,-0.412560,1.060134,0.584247,0,0,0
0.283333,0.604537,1.335897,-0.026439,-0.445936,1.029365,0.627711,0,0,0
0.300000,0.620560,1.330263,0.172623,-0.476966,1.008988,0.671672,0,0,0
0.316667,0.679314,1.218768,0.822094,-0.516794,0.970327,0.644557,0,0,0
0.333333,0.137874,1.029843,1.233878,-0.538842,0.948946,0.622607,0,0,0
0.350000,-0.077368,0.927221,1.226305,-0.565263,0.923296,0.543309,0,0,0
0.366667,-0.257183,0.807078,1.153249,-0.581396,0.901570,0.464021,0,0,0
0.383333,-0.315405,0.730828,1.027574,-0.588927,0.893773,0.383570,0,0,0
0.400000,-0.368916,0.694051,0.884942,-0.586094,0.884694,0.308152,0,0,0
0.416667,-0.386679,0.684792,0.786178,-0.568504,0.879488,0.242258,0,0,0
0.433333,-0.383055,0.671010,0.690899,-0.546667,0.882854,0.187905,0,0,0
0.450000,-0.385389,0.673059,0.669960,-0.520920,0.875635,0.133577,0,0,0
0.466667,-0.386292,0.674165,0.648696,-0.491615,0.875375,0.082954,0,0,0
0.483333,-0.387162,0.677038,0.631983,-0.478394,0.869684,0.045813,0,0,0
0.500000,-0.387686,0.679614,0.615086,-0.463407,0.866369,0.009550,0,0,0
0.516667,-0.385934,0.683557,0.603386,-0.451275,0.861597,-0.017072,0,0,0
0.533333,-0.384052,0.687401,0.591526,-0.437787,0.857696,-0.043047,0,0,0
0.550000,-0.379088,0.692655,0.584887,-0.427463,0.854125,-0.065828,0,0,0
0.566667,-0.373962,0.697882,0.578063,-0.415315,0.851000,-0.088072,0,0,0
0.583333,-0.365743,0.704355,0.575321,-0.406522,0.849033,-0.105500,0,0,0
0.600000,-0.357263,0.710843,0.572328,-0.399223,0.848056,-0.122669,0,0,0
0.616667,-0.346516,0.718264,0.571767,-0.395463,0.849433,-0.133816,0,0,0
0.633333,-0.335528,0.725753,0.570941,-0.391098,0.850804,-0.144895,0,0,0
0.650000,-0.323283,0.733749,0.570970,-0.390530,0.855485,-0.150078,0,0,0
0.666667,-0.310755,0.741856,0.570817,-0.390003,0.860240,-0.155235,0,0,0
0.683333,-0.296026,0.751073,0.570852,-0.393982,0.867571,-0.156269,0,0,0
0.700000,-0.281007,0.760387,0.570685,-0.397728,0.875303,-0.157013,0,0,0
0.716667,-0.262398,0.771882,0.571048,-0.407788,0.884282,-0.155888,0,0,0
0.733333,-0.243466,0.783373,0.571006,-0.417221,0.894230,-0.154192,0,0,0
0.750000,-0.221137,0.796948,0.571756,-0.431701,0.904347,-0.150654,0,0,0
0.766667,-0.198435,0.810400,0.571841,-0.445381,0.915984,-0.146152,0,0,0
0.783333,-0.173087,0.825469,0.572925,-0.460759,0.926947,-0.138547,0,0,0
0.800000,-0.147331,0.840323,0.573064,-0.475236,0.939618,-0.129707,0,0,0
0.816667,-0.120381,0.856025,0.574255,-0.487723,0.951077,-0.117422,0,0,0
0.833333,-0.093027,0.871495,0.574307,-0.499217,0.964135,-0.104008,0,0,0
0.850000,-0.066218,0.886728,0.575383,-0.506818,0.975945,-0.086892,0,0,0
0.866667,-0.039018,0.901790,0.575281,-0.513295,0.989222,-0.068997,0,0,0
0.883333,-0.013993,0.915508,0.576079,-0.517869,1.001284,-0.047368,0,0,0
0.900000,0.011435,0.929130,0.575816,-0.521103,1.014834,-0.025187,0,0,0
0.916667,0.033476,0.940623,0.576299,-0.524075,1.027081,0.000708,0,0,0
0.933333,0.055981,0.952041,0.575894,-0.525305,1.040772,0.026878,0,0,0
0.950000,0.074450,0.961105,0.576115,-0.524990,1.051465,0.055973,0,0,0
0.966667,0.093394,0.969981,0.575539,-0.524147,1.066816,0.086125,0,0,0
0.983333,0.108078,0.976728,0.575538,-0.522572,1.079174,0.119107,0,0,0
1.000000,0.123340,0.983163,0.574799,-0.517925,1.092386,0.151110,0,0,0
1.016667,0.135663,0.988841,0.574329,-0.515116,1.103750,0.186266,0,0,0
1.033333,0.148419,0.994091,0.573052,-0.508760,1.115926,0.220039,0,0,0
1.050000,0.159577,0.999623,0.571695,-0.503090,1.125288,0.256099,0,0,0
1.066667,0.170929,1.004774,0.569502,-0.493638,1.136346,0.290885,0,0,0
1.083333,0.180657,1.009494,0.566948,-0.482778,1.143693,0.326663,0,0,0
1.100000,0.190727,1.014530,0.563866,-0.467933,1.153669,0.361203,0,0,0
