clip,length,loop,weapon_delta_m,mag_relative_delta_m,left_hand_delta_m,right_hand_delta_m,slide_relative_delta_m
Arms|BlouseAction,0.04166667,False,0.00000,0.00000,0.00000,0.00000,0.00000
Arms|BlouseAction.001,0.04166667,False,0.00000,0.00000,0.00000,0.00000,0.00000
Cloth gloves fingerless|BlouseAction,0.04166667,False,0.00000,0.00000,0.00000,0.00000,0.00000
Cloth gloves fingerless|BlouseAction.001,0.04166667,False,0.00000,0.00000,0.00000,0.00000,0.00000
Gorka|BlouseAction,0.04166667,False,0.00000,0.00000,0.00000,0.00000,0.00000
Gorka|BlouseAction.001,0.04166667,False,0.00000,0.00000,0.00000,0.00000,0.00000
LVA4_Armature|BlouseAction,0.04166667,False,0.00000,0.00000,0.00000,0.00000,0.00000
LVA4_Armature|BlouseAction.001,0.04166667,False,0.00000,0.00000,0.00000,0.00000,0.00000
LVA4_Armature|wpn_val_draw,0.5,False,0.09903,0.00000,0.17052,0.06985,0.00000
LVA4_Armature|wpn_val_hide,0.5,False,0.11083,0.00000,0.17390,0.08642,0.00000
LVA4_Armature|wpn_val_idle,8.333334,True,0.00400,0.00000,0.04007,0.02065,0.00000
LVA4_Armature|wpn_val_idleAim,1.666667,True,0.00000,0.00000,0.00000,0.00000,0.00000
LVA4_Armature|wpn_val_inAim,0.5,False,0.15508,0.00000,0.15109,0.15522,0.00000
LVA4_Armature|wpn_val_outAim,0.5,False,0.18626,0.00000,0.18414,0.18805,0.00000
LVA4_Armature|wpn_val_reload,2.5,False,0.09076,0.35013,0.43269,0.09259,0.00000
LVA4_Armature|wpn_val_reload_full,3.333333,False,0.09077,0.34341,0.42946,0.09420,0.06088
LVA4_Armature|wpn_val_shoot,0.5,False,0.02063,0.00000,0.02426,0.02084,0.04833
LVA4_Armature|wpn_val_shootAim,0.5,False,0.00809,0.00000,0.00832,0.00945,0.05132
LVA4_Armature|wpn_val_sprint,1,True,0.05258,0.00000,0.09297,0.03330,0.00000
LVA4_Armature|wpn_val_walk,1,True,0.02389,0.00000,0.02754,0.02412,0.00000
VAL_Model|BlouseAction,0.04166667,False,0.00000,0.00000,0.00000,0.00000,0.00000
VAL_Model|BlouseAction.001,0.04166667,False,0.00000,0.00000,0.00000,0.00000,0.00000
