Functional route PASS: resident → A pickup/drop/open/kill → B → save/load B → A tombstone/drop/door/death → save/load A.
cycle,scenes,items,enemies,listeners,managedBytes,nativeAllocatedBytes,loadMs
0,1,15,6,1,1215848448,332979863,2.181
1,1,15,5,1,1215848448,332787897,2.390
2,1,15,5,1,1215868928,332796721,2.814
3,1,15,7,1,1215950848,333223110,2.994
4,1,15,6,1,1215954944,333034311,2.710
5,1,15,5,1,1215954944,332891852,2.149
6,1,15,6,1,1215954944,333070979,2.307
7,1,15,7,1,1215954944,333259874,2.671
8,1,15,6,1,1215971328,333583000,3.024
9,1,15,6,1,1215975424,333625087,2.243
10,1,15,6,1,1215975424,333584072,2.646
11,1,15,6,1,1215975424,333626879,2.422
PASS: 12 full A↔B cycles; cancellation and session restart; global shelter flow remains session-owned.
