clip,time,rootX,rootY,rootZ,rootYaw,hipsY,headY,leftFootX,leftFootY,leftFootZ,rightFootX,rightFootY,rightFootZ,leftHandZ,rightHandZ,meshMinY,meshMaxY
Zombie@Idle01,0,0,0,0,0,0.8561259,1.432988,-0.2525881,0.112873,0.06713647,0.2294865,0.1375163,-0.2479158,0.6342083,0.5177536,-0.002066314,1.635012
Zombie@Idle01,0.02111111,0,0,0,0,0.8550231,1.431149,-0.2538182,0.1124377,0.06779464,0.2309732,0.1375265,-0.2477248,0.6346219,0.5204918,-0.00253424,1.633415
Zombie@Idle01,0.04222222,0,0,0,0,0.8539494,1.42922,-0.2549925,0.1120062,0.06847017,0.2324277,0.1375344,-0.2475133,0.6349974,0.523302,-0.002992839,1.631704
Zombie@Idle01,0.06333334,0,0,0,0,0.8529139,1.427182,-0.2561022,0.1115651,0.06916778,0.2338608,0.137529,-0.2472755,0.6353539,0.5262026,-0.003452837,1.629858
Zombie@Idle01,0.08444445,0,0,0,0,0.8519167,1.424986,-0.2571592,0.111094,0.06989447,0.235286,0.1374907,-0.2470075,0.6357511,0.529212,-0.003930271,1.627817
Zombie@Idle01,0.1055556,0,0,0,0,0.8509443,1.422697,-0.2581586,0.1106299,0.07063884,0.2366793,0.1374542,-0.2467231,0.6361078,0.5322917,-0.004394799,1.625662
Zombie@Idle01,0.1266667,0,0,0,0,0.8500046,1.420299,-0.2590833,0.1101486,0.07139198,0.2380501,0.1373982,-0.2464152,0.6364853,0.5354635,-0.004867703,1.623371
Zombie@Idle01,0.1477778,0,0,0,0,0.8490952,1.41785,-0.259914,0.1096595,0.07213978,0.2393844,0.1373319,-0.2460851,0.6368609,0.5387204,-0.005340636,1.621009
Zombie@Idle01,0.1688889,0,0,0,0,0.8482083,1.415351,-0.2606699,0.1091776,0.07288987,0.2406867,0.1372707,-0.2457407,0.6372011,0.5420216,-0.005803049,1.618578
Zombie@Idle01,0.19,0,0,0,0,0.8473547,1.412809,-0.2613372,0.1086791,0.07362914,0.2419514,0.1371855,-0.2453706,0.6375704,0.545267,-0.006270379,1.616082
Zombie@Idle01,0.2111111,0,0,0,0,0.8465251,1.410226,-0.2619411,0.1081875,0.07437139,0.243181,0.1370998,-0.2449847,0.6379147,0.548411,-0.006724924,1.613524
Zombie@Idle01,0.2322222,0,0,0,0,0.8457172,1.407602,-0.2624818,0.1077015,0.07511619,0.2443814,0.1370154,-0.2445863,0.6382349,0.5514625,-0.007169098,1.610906
Zombie@Idle01,0.2533334,0,0,0,0,0.8449417,1.404947,-0.2629642,0.1072087,0.07585655,0.2455326,0.1369018,-0.2441625,0.6385739,0.5543287,-0.007604271,1.608229
Zombie@Idle01,0.2744445,0,0,0,0,0.8441855,1.402255,-0.2633944,0.1067308,0.07660136,0.2466568,0.1367879,-0.2437263,0.6388794,0.5571291,-0.008020759,1.605494
Zombie@Idle01,0.2955556,0,0,0,0,0.8434535,1.399532,-0.2637737,0.1062655,0.07734476,0.2477477,0.1366567,-0.2432733,0.639173,0.5598198,-0.008418024,1.6027
Zombie@Idle01,0.3166667,0,0,0,0,0.8427501,1.396781,-0.2641141,0.105828,0.07808327,0.2487922,0.1364846,-0.2427938,0.6394604,0.5623831,-0.00877893,1.59985
Zombie@Idle01,0.3377778,0,0,0,0,0.8420635,1.393996,-0.2644041,0.1054084,0.07882723,0.2498168,0.1363047,-0.2423049,0.6397272,0.5648918,-0.009119213,1.596939
Zombie@Idle01,0.3588889,0,0,0,0,0.8414037,1.391187,-0.2646628,0.1050173,0.07956887,0.250789,0.1360815,-0.2417986,0.6400221,0.5672792,-0.009422839,1.593972
Zombie@Idle01,0.38,0,0,0,0,0.8407679,1.388356,-0.2648971,0.1046574,0.08031466,0.2517229,0.1358241,-0.241259,0.6402758,0.5695943,-0.009685427,1.590959
Zombie@Idle01,0.4011112,0,0,0,0,0.8401507,1.3855,-0.2650953,0.1043194,0.0810667,0.2526399,0.1355546,-0.2407,0.6404805,0.5718464,-0.009921968,1.587897
Zombie@Idle01,0.4222223,0,0,0,0,0.8395698,1.382641,-0.2652979,0.1040327,0.08182319,0.253499,0.135214,-0.2400643,0.6405531,0.5740281,-0.01008624,1.584808
Zombie@Idle01,0.4433334,0,0,0,0,0.8390092,1.379758,-0.2654735,0.1037733,0.08258746,0.2543216,0.1348481,-0.2393963,0.6405438,0.5761591,-0.01021594,1.581673
Zombie@Idle01,0.4644445,0,0,0,0,0.8384703,1.376853,-0.2656284,0.1035432,0.08335931,0.2551031,0.1344502,-0.2386924,0.6404539,0.5782278,-0.01030847,1.578495
Zombie@Idle01,0.4855556,0,0,0,0,0.8379727,1.373938,-0.2657741,0.1033638,0.08413599,0.2558455,0.1340118,-0.2379544,0.6402113,0.5802491,-0.01033345,1.575284
Zombie@Idle01,0.5066667,0,0,0,0,0.8374878,1.37099,-0.2659183,0.1032108,0.0849228,0.2565533,0.1335432,-0.2371886,0.63995,0.5822141,-0.01032206,1.572022
Zombie@Idle01,0.5277778,0,0,0,0,0.8370354,1.368018,-0.266045,0.1030968,0.08571757,0.2572142,0.1330407,-0.2363923,0.63955,0.5841384,-0.01026002,1.568715
Zombie@Idle01,0.5488889,0,0,0,0,0.8366136,1.365011,-0.2661659,0.1030246,0.08652233,0.2578089,0.1324902,-0.2355572,0.6390143,0.586038,-0.01014066,1.565353
Zombie@Idle01,0.5700001,0,0,0,0,0.8362136,1.361966,-0.2662672,0.1029799,0.08734497,0.25837,0.1319554,-0.234783,0.638395,0.5878789,-0.009986252,1.561933
Zombie@Idle01,0.5911112,0,0,0,0,0.8358496,1.358871,-0.2663726,0.1029854,0.0882205,0.258813,0.1315039,-0.2343448,0.6376261,0.5897534,-0.009759665,1.558442
Zombie@Idle01,0.6122223,0,0,0,0,0.8355083,1.355707,-0.2664593,0.1030217,0.08901653,0.2592756,0.1306412,-0.232871,0.6366054,0.5915003,-0.009486973,1.554862
Zombie@Idle01,0.6333334,0,0,0,0,0.835192,1.352483,-0.2665306,0.103089,0.08988106,0.259662,0.1299677,-0.2319165,0.6355205,0.5932246,-0.009172112,1.551203
Zombie@Idle01,0.6544445,0,0,0,0,0.8349152,1.349118,-0.2666037,0.1032064,0.09077883,0.2599298,0.1292105,-0.2308942,0.6342489,0.5950172,-0.008774966,1.547377
Zombie@Idle01,0.6755556,0,0,0,0,0.8346604,1.345624,-0.266656,0.1033469,0.09170204,0.2601672,0.1284359,-0.2298438,0.632953,0.5967493,-0.008340061,1.543402
Zombie@Idle01,0.6966667,0,0,0,0,0.8344329,1.341967,-0.2666917,0.1035179,0.09265924,0.2603506,0.1276263,-0.2287496,0.6316304,0.5984477,-0.007853448,1.53924
Zombie@Idle01,0.7177778,0,0,0,0,0.8342583,1.338335,-0.2667153,0.1037383,0.09361388,0.2604409,0.1267827,-0.2276439,0.63025,0.6001649,-0.007297099,1.53507
Zombie@Idle01,0.738889,0,0,0,0,0.8341252,1.334781,-0.2667139,0.1039951,0.09455816,0.260499,0.1259548,-0.2265515,0.6288188,0.6017612,-0.006697983,1.53095
Zombie@Idle01,0.7600001,0,0,0,0,0.8340622,1.33151,-0.2666893,0.1043072,0.09545785,0.2604799,0.1251403,-0.2255006,0.6272975,0.6032984,-0.006036878,1.527069
Zombie@Idle01,0.7811112,0,0,0,0,0.83407,1.328483,-0.2666255,0.1046652,0.09636609,0.2603725,0.1245277,-0.2249742,0.6257514,0.6048069,-0.005323857,1.523836
Zombie@Idle01,0.8022223,0,0,0,0,0.8341173,1.325584,-0.266523,0.1050507,0.09715852,0.2603025,0.1235807,-0.2234966,0.6240531,0.6060997,-0.00457862,1.521185
Zombie@Idle01,0.8233334,0,0,0,0,0.8342555,1.32304,-0.2663557,0.1054833,0.09794079,0.2601223,0.122844,-0.2225555,0.6223192,0.607399,-0.003778726,1.518885
Zombie@Idle01,0.8444445,0,0,0,0,0.8344499,1.320716,-0.2661343,0.1059446,0.09868699,0.2598994,0.1221431,-0.2216477,0.6205328,0.6085839,-0.002946258,1.517076
Zombie@Idle01,0.8655556,0,0,0,0,0.834694,1.318585,-0.2658648,0.1064336,0.09939992,0.2596327,0.1214744,-0.2207685,0.6186876,0.6096582,-0.002081364,1.515564
Zombie@Idle01,0.8866667,0,0,0,0,0.835032,1.316901,-0.2655099,0.1069447,0.1000322,0.2592885,0.1208524,-0.21996,0.6168022,0.6106614,-0.001194388,1.51443
Zombie@Idle01,0.9077778,0,0,0,0,0.8354139,1.31538,-0.2651049,0.1074702,0.1006332,0.2589085,0.1202667,-0.2191805,0.6148757,0.6115334,-0.0002912283,1.513416
Zombie@Idle01,0.928889,0,0,0,0,0.8358588,1.314121,-0.2646318,0.1080083,0.1011836,0.258474,0.1197234,-0.2184467,0.6129136,0.6122933,0.0006248355,1.512618
Zombie@Idle01,0.95,0,0,0,0,0.83638,1.313177,-0.2640689,0.1085427,0.101672,0.2579868,0.1192324,-0.2177735,0.6109391,0.6129572,0.001535952,1.512091
Zombie@Idle01,0.9711112,0,0,0,0,0.8369418,1.312373,-0.2634508,0.1090822,0.1021298,0.2574592,0.1187794,-0.2171295,0.6089298,0.6135121,0.002452463,1.511672
