clip,time,rootX,rootY,rootZ,rootYaw,headX,headY,headZ,hipsX,hipsY,hipsZ,meshMinY
Zombie@Damage01,0,0,0,0,0,-0.02428425,1.432988,0.1963464,-0.02219865,0.8561259,0.02081882,-0.002066314
Zombie@Damage01,0.004166667,0,0,0,0,-0.02297682,1.429831,0.192439,-0.0216358,0.8536781,0.01642201,-0.002222031
Zombie@Damage01,0.008333334,0,0,0,0,-0.02166996,1.426625,0.1885297,-0.02107593,0.8512141,0.01203626,-0.002346277
Zombie@Damage01,0.0125,0,0,0,0,-0.0203633,1.423372,0.1846184,-0.02051889,0.8487336,0.007661998,-0.002441019
Zombie@Damage01,0.01666667,0,0,0,0,-0.01905688,1.42007,0.1807062,-0.01996502,0.8462375,0.003299505,-0.002505928
Zombie@Damage01,0.02083333,0,0,0,0,-0.01775058,1.416722,0.1767928,-0.01941437,0.8437259,-0.0010508,-0.002541631
Zombie@Damage01,0.025,0,0,0,0,-0.01644418,1.413327,0.1728789,-0.01886696,0.8411986,-0.005388521,-0.002549231
Zombie@Damage01,0.02916667,0,0,0,0,-0.01513761,1.409885,0.1689648,-0.01832302,0.838656,-0.009713471,-0.002528846
Zombie@Damage01,0.03333334,0,0,0,0,-0.01383075,1.406397,0.1650503,-0.01778268,0.8360984,-0.01402528,-0.002481192
Zombie@Damage01,0.0375,0,0,0,0,-0.01119746,1.402963,0.1578944,-0.01600998,0.8334572,-0.02008564,-0.002281815
Zombie@Damage01,0.04166667,0,0,0,0,-0.008566679,1.399457,0.1507461,-0.01424486,0.8308002,-0.02613354,-0.001998752
Zombie@Damage01,0.04583333,0,0,0,0,-0.005937923,1.395881,0.1436064,-0.01248746,0.8281269,-0.03216885,-0.001632094
Zombie@Damage01,0.05,0,0,0,0,-0.0033107,1.392236,0.1364745,-0.01073825,0.8254384,-0.03819143,-0.001181424
Zombie@Damage01,0.05416667,0,0,0,0,-0.0006844911,1.38852,0.1293523,-0.008997364,0.8227347,-0.04420097,-0.0006482303
Zombie@Damage01,0.05833333,0,0,0,0,0.001941181,1.384735,0.122239,-0.007265241,0.8200158,-0.05019763,-3.21269E-05
Zombie@Damage01,0.0625,0,0,0,0,0.00456675,1.380882,0.115136,-0.0055421,0.8172822,-0.05618099,0.0006666481
Zombie@Damage01,0.06666667,0,0,0,0,0.00719274,1.376961,0.1080434,-0.003828271,0.8145342,-0.06215098,0.00144729
Zombie@Damage01,0.07083333,0,0,0,0,0.009240227,1.379678,0.09877077,-0.001815201,0.815279,-0.06418502,0.001774222
Zombie@Damage01,0.075,0,0,0,0,0.01129349,1.38232,0.08948819,0.0001978055,0.816043,-0.06620824,0.002140522
